OrganizationUnitID,OrganizationUnitCode,OrganizationUnitName,DisplayStatusTypeID,OrganizationUnitHierarchyID,HierarchyLevel,HierarchyString,Administrator_PersonID,Level0,Level1,Level2,Level3,Level4,Level5,Level0_Name,Level1_Name,Level2_Name,Level3_Name,Level4_Name,Level5_Name,Level0_ID,Level1_ID,Level2_ID,Level3_ID,Level4_ID,Level5_ID
13E62D3B-9BA6-4230-BBC1-13EB596DF83D,4422,PS-Geriatrics,1,0x5E09F132E0,3,/1/17/259/,NULL,NULL,UNIV,40XX,4422,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Geriatrics,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,13E62D3B-9BA6-4230-BBC1-13EB596DF83D,NULL,NULL
3D8CC5BF-66AC-4308-8524-A4AE3DF571B9,4423,PS-Mental Health Services,1,0x5E09F13320,3,/1/17/260/,NULL,NULL,UNIV,40XX,4423,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Mental Health Services,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,3D8CC5BF-66AC-4308-8524-A4AE3DF571B9,NULL,NULL
1A5F6CDF-D138-48F1-A634-23CB116B06FC,4424,PS-Neuroendocrine,1,0x5E09F13360,3,/1/17/261/,NULL,NULL,UNIV,40XX,4424,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Neuroendocrine,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,1A5F6CDF-D138-48F1-A634-23CB116B06FC,NULL,NULL
36602B39-1D7B-4610-81F3-C9DC950D83D9,4425,PS-Neuropsychiatry,1,0x5E09F133A0,3,/1/17/262/,NULL,NULL,UNIV,40XX,4425,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Neuropsychiatry,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,36602B39-1D7B-4610-81F3-C9DC950D83D9,NULL,NULL
BCE0F812-CF26-4CDC-A7CC-34168A83D3AC,4426,PS-Psychotherapy,1,0x5E09F133E0,3,/1/17/263/,NULL,NULL,UNIV,40XX,4426,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Psychotherapy,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,BCE0F812-CF26-4CDC-A7CC-34168A83D3AC,NULL,NULL
186EA75D-854E-4958-B5CF-63679EA12F37,4427,PS-Sleep Center,1,0x5E09F13620,3,/1/17/264/,NULL,NULL,UNIV,40XX,4427,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Sleep Center,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,186EA75D-854E-4958-B5CF-63679EA12F37,NULL,NULL
D6351AD7-3160-408B-8304-7B8BAE8AF144,4428,PS-Thyroid,1,0x5E09F13660,3,/1/17/265/,NULL,NULL,UNIV,40XX,4428,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Thyroid,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,D6351AD7-3160-408B-8304-7B8BAE8AF144,NULL,NULL
569B9D6A-9983-493B-874C-4EE570176055,4429,PS-Weight Disorders,1,0x5E09F136A0,3,/1/17/266/,NULL,NULL,UNIV,40XX,4429,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Weight Disorders,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,569B9D6A-9983-493B-874C-4EE570176055,NULL,NULL
7BF2417A-9D82-48E8-B054-CBF6733ECCE0,4430,PS-Molecular Genetics,1,0x5E09F136E0,3,/1/17/267/,NULL,NULL,UNIV,40XX,4430,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Molecular Genetics,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,7BF2417A-9D82-48E8-B054-CBF6733ECCE0,NULL,NULL
CC54F0CA-657C-4B75-9B48-D85E30F6D121,4431,PS-Unit for Experimental Psychiatry,1,0x5E09F13720,3,/1/17/268/,NULL,NULL,UNIV,40XX,4431,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Unit for Experimental Psychiatry,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,CC54F0CA-657C-4B75-9B48-D85E30F6D121,NULL,NULL
A2AEB9E4-6C54-44E2-8BCC-562BFF42CDA0,4432,PS-Psychiatry Chop,1,0x5E09F13760,3,/1/17/269/,NULL,NULL,UNIV,40XX,4432,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Psychiatry Chop,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,A2AEB9E4-6C54-44E2-8BCC-562BFF42CDA0,NULL,NULL
DB5E2AE7-DAB9-4360-A0A8-D60597149AAF,4433,PS-Other Psychiatry,1,0x5E09F137A0,3,/1/17/270/,NULL,NULL,UNIV,40XX,4433,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Other Psychiatry,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,DB5E2AE7-DAB9-4360-A0A8-D60597149AAF,NULL,NULL
2B408048-86E5-41FB-A665-942C1EDC73B6,4434,PS-Center for Neurobiology and Behavior,1,0x5E09F137E0,3,/1/17/271/,NULL,NULL,UNIV,40XX,4434,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Center for Neurobiology and Behavior,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,2B408048-86E5-41FB-A665-942C1EDC73B6,NULL,NULL
B59DF086-F325-4982-B56D-64E1EAFD2056,4435,PS-Center for Tobacco Research,1,0x5E09F14220,3,/1/17/272/,NULL,NULL,UNIV,40XX,4435,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Center for Tobacco Research,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,B59DF086-F325-4982-B56D-64E1EAFD2056,NULL,NULL
718FC583-0EDE-4232-8480-4A182B5AE20E,4436,PS-Psychiatric & Medical Comorbidity,1,0x5E09F14260,3,/1/17/273/,NULL,NULL,UNIV,40XX,4436,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Psychiatric & Medical Comorbidity,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,718FC583-0EDE-4232-8480-4A182B5AE20E,NULL,NULL
A6CA7B39-8BF6-4CD3-831D-DF702FDBEE87,4437,PS-Addictions HIV-AIDS Prevention Research,1,0x5E09F142A0,3,/1/17/274/,NULL,NULL,UNIV,40XX,4437,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Addictions HIV-AIDS Prevention Research,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,A6CA7B39-8BF6-4CD3-831D-DF702FDBEE87,NULL,NULL
65E7FE55-31DE-4D82-B6D7-F4DB803788E2,4438,PS-Psychiatry Business Office,1,0x5E09F142E0,3,/1/17/275/,NULL,NULL,UNIV,40XX,4438,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Psychiatry Business Office,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,65E7FE55-31DE-4D82-B6D7-F4DB803788E2,NULL,NULL
6D536431-B1C7-4C70-BF60-8E857FB82C17,4439,PS-Affective Disorders Program,1,0x5E09F14320,3,/1/17/276/,NULL,NULL,UNIV,40XX,4439,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Affective Disorders Program,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,6D536431-B1C7-4C70-BF60-8E857FB82C17,NULL,NULL
11E24F0C-9BB6-49DA-9A14-D720C731EB8E,4440,PS-Ctr for Health Behavior & Communications Resear,1,0x5E09F14360,3,/1/17/277/,NULL,NULL,UNIV,40XX,4440,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Ctr for Health Behavior & Communications Resear,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,11E24F0C-9BB6-49DA-9A14-D720C731EB8E,NULL,NULL
74ED01EB-7FB3-4216-A0E6-1AA8124FA6CB,4441,PS-Cocaine Relapse,1,0x5E09F143A0,3,/1/17/278/,NULL,NULL,UNIV,40XX,4441,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Cocaine Relapse,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,74ED01EB-7FB3-4216-A0E6-1AA8124FA6CB,NULL,NULL
C5586FEC-E06E-4BD5-9357-E9E3F103C5BD,4442,PS-Translational Neuroscience Program,1,0x5E09F143E0,3,/1/17/279/,NULL,NULL,UNIV,40XX,4442,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Translational Neuroscience Program,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,C5586FEC-E06E-4BD5-9357-E9E3F103C5BD,NULL,NULL
23F59F31-2541-4FEE-A3C7-D7175CBDEA64,4443,PS-Ctr for Women's Behavioral Wellness,1,0x5E09F14620,3,/1/17/280/,NULL,NULL,UNIV,40XX,4443,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Ctr for Women's Behavioral Wellness,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,23F59F31-2541-4FEE-A3C7-D7175CBDEA64,NULL,NULL
1990763D-4989-40F4-ABA0-02D9B543119F,4444,PS-Ctr for Community Based Res and Hlth Disparitie,1,0x5E09F14660,3,/1/17/281/,NULL,NULL,UNIV,40XX,4444,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Ctr for Community Based Res and Hlth Disparitie,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,1990763D-4989-40F4-ABA0-02D9B543119F,NULL,NULL
47E4940F-83F6-4CA3-815C-B0CD8672E4E5,4445,PS-Center for the Neuroscience of Depression & Str,1,0x5E09F146A0,3,/1/17/282/,NULL,NULL,UNIV,40XX,4445,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,PS-Center for the Neuroscience of Depression & Str,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,47E4940F-83F6-4CA3-815C-B0CD8672E4E5,NULL,NULL
A3049268-A734-42BF-A617-CDB5D55E0101,4446,"PS-Cholinergic Mechanisms in Addiction and Mental ",1,0x5E09F146E0,3,/1/17/283/,NULL,NULL,UNIV,40XX,4446,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,"PS-Cholinergic Mechanisms in Addiction and Mental ",NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,A3049268-A734-42BF-A617-CDB5D55E0101,NULL,NULL
0DAA284F-97A2-40CC-888D-82A5914EF41D,4451,RA-Radiology Surrogate,1,0x5E09F14720,3,/1/17/284/,NULL,NULL,UNIV,40XX,4451,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-Radiology Surrogate,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,0DAA284F-97A2-40CC-888D-82A5914EF41D,NULL,NULL
ECF22743-F22E-4D27-9653-4A5444E7945A,4452,RA-Radiology,1,0x5E09F14760,3,/1/17/285/,NULL,NULL,UNIV,40XX,4452,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-Radiology,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,ECF22743-F22E-4D27-9653-4A5444E7945A,NULL,NULL
075C34E2-0C95-4D02-9938-D1FC85D74C2B,4453,RA-Angiography,1,0x5E09F147A0,3,/1/17/286/,NULL,NULL,UNIV,40XX,4453,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-Angiography,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,075C34E2-0C95-4D02-9938-D1FC85D74C2B,NULL,NULL
AD47A175-D308-4B5F-93E6-F48A4FBDB726,4454,RA-Diagnostic Radiology,1,0x5E09F147E0,3,/1/17/287/,NULL,NULL,UNIV,40XX,4454,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-Diagnostic Radiology,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,AD47A175-D308-4B5F-93E6-F48A4FBDB726,NULL,NULL
DA634CD7-67D1-49D3-B888-9BCEE2DFF845,4455,RA-Health Services,1,0x5E09F15220,3,/1/17/288/,NULL,NULL,UNIV,40XX,4455,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-Health Services,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,DA634CD7-67D1-49D3-B888-9BCEE2DFF845,NULL,NULL
1711C822-090D-4D8C-B34C-C83D4B735A72,4456,RA-MIG,1,0x5E09F15260,3,/1/17/289/,NULL,NULL,UNIV,40XX,4456,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-MIG,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,1711C822-090D-4D8C-B34C-C83D4B735A72,NULL,NULL
D61DE812-023F-40A7-814E-1FD5F7EF6975,4457,RA-MIPG,1,0x5E09F152A0,3,/1/17/290/,NULL,NULL,UNIV,40XX,4457,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-MIPG,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,D61DE812-023F-40A7-814E-1FD5F7EF6975,NULL,NULL
FA76127F-7A81-4A7D-9BC2-A928FD3CEDB3,4458,RA-MRI,1,0x5E09F152E0,3,/1/17/291/,NULL,NULL,UNIV,40XX,4458,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-MRI,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,FA76127F-7A81-4A7D-9BC2-A928FD3CEDB3,NULL,NULL
1AE6984A-3A12-4078-91FA-58D1CC63D9BE,4459,RA-MRI-SPECT,1,0x5E09F15320,3,/1/17/292/,NULL,NULL,UNIV,40XX,4459,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-MRI-SPECT,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,1AE6984A-3A12-4078-91FA-58D1CC63D9BE,NULL,NULL
A7867DB9-5C81-41FE-8E98-B39F596C2041,4460,RA-Pendergrass,1,0x5E09F15360,3,/1/17/293/,NULL,NULL,UNIV,40XX,4460,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-Pendergrass,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,A7867DB9-5C81-41FE-8E98-B39F596C2041,NULL,NULL
8E27FD53-D5FC-4429-926C-5CFDCCA53B30,4461,RA-PET-Physics,1,0x5E09F153A0,3,/1/17/294/,NULL,NULL,UNIV,40XX,4461,NULL,NULL,NULL,University of Pennsylvania,Perelman School of Medicine Parent,RA-PET-Physics,NULL,NULL,NULL,BE3EF939-45C3-4F95-AA5C-CA51135D9F6B,4F055DB0-69C5-4B1E-8A95-9B0328592F84,8E27FD53-D5FC-4429-926C-5CFDCCA53B30,NULL,NULL
